size,cp,description,floor,price,addr_approx,pics,contact,lift,rooms,publicdistance,latitude,longitude,int_ext,deposit,orientation
 65 m² construidos| 55 m² útiles ,48002, "Piso de dos dormitorios en Basurto Kastrejana en alquiler|prácticamente en primera linea de zona|bien comunicado y ubicado dispone de dos dormitorios|sala|cocina|baño|pasillo y terraza|completamente exterior y para entrar a vivir|dispone de ventanas PVC en toda la casa( salvo en la terraza)| zona tranquila con la ventaja de estar cerca del centro de la cuidad y dispone a ademas de aparcamiento gratuito cerca de la vivienda ademas de que la zona tiene todo tipo de dotaciones para su comodidad|económico y a muy buen precio" , Planta 1ª exterior , 570 eur/mes - ,Altamira- Monte Caramelo| Bilbao,https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://logs3.xiti.com/hit.xiti?s=352991&s2=10&p=detalle::home&di=0&x19=[]&cmd=&xt_an=&roimt=&clic=#clic#, 944 700 712 , Sin ascensor , 2 habitaciones ,?,43.2519225,-2.952755,
 80 m² construidos ,, "Henao junto plaza Ensanche| vacío| exterior| salón| dormitorio principal con vestidor y baño. Otro dormitorio| otro baño| cocina equipada. Garaje directo. Ac/cc." , Planta 2ª exterior , 1.400 eur/mes - ,calle henao| Abandoibarra-Guggenheim| Bilbao,https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://logs3.xiti.com/hit.xiti?s=352991&s2=10&p=detalle::home&di=0&x19=[]&cmd=&xt_an=&roimt=&clic=#clic#, 944 941 053 , Con ascensor , 2 habitaciones ,?,43.2630126,-2.9349852,
 90 m² construidos ,, "Magnífica vivienda reformada y totalmente amueblada. Dispone de Hall| salón-comedor con mirador| 2 dormitorios (ppal con baño)| otro baño| cocina y armarios empotrados. Todos los huecos de la vivienda son exteriores. Calefacción central." , Planta 2ª exterior , 1.500 eur/mes - ,marques del puerto| 9| Ensanche-Moyua| Bilbao,https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://logs3.xiti.com/hit.xiti?s=352991&s2=10&p=detalle::home&di=0&x19=[]&cmd=&xt_an=&roimt=&clic=#clic#, 944 947 261 , Con ascensor , 2 habitaciones ,?,43.2630126,-2.9349852,
 72 m² construidos| 70 m² útiles ,48012, "VIVIENDA EN PERFECTAS CONDICIONES/ MUY LUMINOSO/ CERCANA AL HOSPITAL DE BASURTO Y A AUTONOMIA / SE REQUIERE SOLVENCIA DEMOSTRABLE/ 1 FIANZA / " , Planta 4ª interior , 800 eur/mes - ,calle novia salcedo| Basurtu| Bilbao,https://st1.idealista.com/static/common/release/detail/resources/img/play_overlay.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://logs3.xiti.com/hit.xiti?s=352991&s2=10&p=detalle::home&di=0&x19=[]&cmd=&xt_an=&roimt=&clic=#clic#, 944 941 217 , Con ascensor , 2 habitaciones ,?,43.2565416,-2.9483919,
 75 m² construidos ,, "Piso exterior con salón| cocina equipada| dos dormitorios y dos baños. El dormitorio principal tiene el baño incorporado y vestidor. Dispone de una pequeña terraza. Parcela de garaje con acceso directo. Calefaccion y agua caliente centrales y portero físico. Precio 1400€ incluye los gastos de comunidad y el garaje." , Planta 2ª exterior , 1.400 eur/mes - ,henao| Abandoibarra-Guggenheim| Bilbao,https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://logs3.xiti.com/hit.xiti?s=352991&s2=10&p=detalle::home&di=0&x19=[]&cmd=&xt_an=&roimt=&clic=#clic#, 944 943 675 , Con ascensor , 2 habitaciones ,?,43.2630126,-2.9349852,
 60 m² construidos| 55 m² útiles ,48013, "Disponible apartamento| situado en la 5º planta (con ascensor) de una finca ubicada en c/ Licenciado Poza| junto a San Mamés y a dos pasos de Termibús. Está distribuido en salón-comedor| dormitorio| cocina equipada y cuarto de baño. Se entrega amueblado (con muebles actuales) y en perfecto estado. La vivienda da a dos amplios patios y es muy luminosa por ser última planta. No pierdas la oportunidad de conocerlo!| llámanos para organizar una visita!!., Planta 5ª interior , 850 eur/mes - ,licenciado poza| Basurtu| Bilbao,https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://logs3.xiti.com/hit.xiti?s=352991&s2=10&p=detalle::home&di=0&x19=[]&cmd=&xt_an=&roimt=&clic=#clic#, 628 378 515 , Con ascensor ,,?,43.2633637,-2.9467413,
 250 m² construidos| 230 m² útiles ,, "SE ALQUILA VIVIENDA VACIA  EN UNA ZONA INMEJORABLE DE BILBAO CENTRO de 230 m2 APROXIMADAMENTE| JUNTO A JARDINES DE ALBIA| MUY AMPLIA| SALON COMEDOR ENORME CON 4 MIRADORES AL EXTERIOR| COCINA TOTALMENTE EQUIPADA | 2 BAÑOS COMPLETOS CON BAÑERA (UNO DE ELLOS HIDROMASAJE) Y UN ASEO. ARMARIOS EMPOTRADOS. DORMITORIO PRINCIPAL CON BAÑO INCORPORADO| VESTIDO| HABITACIÓN DE DESPACHO. SE SOLICITA UNA 1 FIANZA Y UN  AVAL BANCARIO  DE 6000€" , Planta 3ª exterior , 2.075 eur/mes - ,calle ibáñez de bilbao| Ensanche-Moyua| Bilbao,https://st1.idealista.com/static/common/release/detail/resources/img/play_overlay.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://logs3.xiti.com/hit.xiti?s=352991&s2=10&p=detalle::home&di=0&x19=[]&cmd=&xt_an=&roimt=&clic=#clic#, 944 941 217 , Con ascensor , 4 habitaciones ,?,43.263075,-2.9276467,
 120 m² construidos| 105 m² útiles ,48012, "Alquiler de piso muy amplio| exterior| con ascensor y a poco metros de metro| autobus| etc., Planta 3ª exterior , 850 eur/mes - ,calle ávila| 1| Ametzola| Bilbao,https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://logs3.xiti.com/hit.xiti?s=352991&s2=10&p=detalle::home&di=0&x19=[]&cmd=&xt_an=&roimt=&clic=#clic#, 944 682 158 , Con ascensor , 4 habitaciones ,?,43.2571337,-2.9394113,
 75 m² construidos ,, "Piso interior de dos dormitorios| sala| cocina amplia| baño y aseo. Calefaccion y agua caliente de gas individuales" , Planta 2ª interior , 900 eur/mes - ,barraincua| Abandoibarra-Guggenheim| Bilbao,https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://logs3.xiti.com/hit.xiti?s=352991&s2=10&p=detalle::home&di=0&x19=[]&cmd=&xt_an=&roimt=&clic=#clic#, 944 943 675 , Con ascensor , 2 habitaciones ,?,43.2630126,-2.9349852,
 65 m² construidos| 57 m² útiles ,, "Disponible piso interior de dos dormitorios| situado en la 2º planta (sin ascensor) de una finca ubicada en Gregorio de la Revilla| entre las plazas de Indautxu y Emilio Campuzano. Está distribuido en salón| cocina americana| dos dormitorios| vestidor y cuarto de baño. Se entrega amueblado y en perfecto estado. Calefacción y agua caliente individuales de Gas Natural. Llámanos para organizar una visita!!, Planta 2ª interior , 850 eur/mes - ,gregorio de la revilla| Zona Indautxu| Bilbao,https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://logs3.xiti.com/hit.xiti?s=352991&s2=10&p=detalle::home&di=0&x19=[]&cmd=&xt_an=&roimt=&clic=#clic#, 628 378 515 , Sin ascensor , 2 habitaciones ,?,43.2609685,-2.9404092,
 77 m² construidos| 64 m² útiles ,48006, "Disponible desde el mes de agosto: ÁTICO EXTERIOR CON TERRAZA| situado en la 5º planta (sin ascensor) de una finca ubicada en c/ Sorkunde a pocos pasos del Casco Viejo. Está distribuido en sala| cocina con office| terraza| dormitorio| cuarto de baño| una habitación adicional de tamaño pequeño y un amplio espacio en altura al que se accede por una escalera de caracol (actualmente con sofá-cama). Se trata de una vivienda singular con acabados extraordinarios (ventanas Climalit| vigas vista| suelos de madera| paredes lisas) que se entrega sin amueblar pero con la cocina totalmente equipada. La calefacción y el agua caliente son individuales de Gas Natural. Sólo destacar que es una casa con muchísimo encanto!!| llámanos para organizar una visita!!, Planta 5ª exterior , 775 eur/mes - ,sorkunde| Solokoetxe| Bilbao,https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://logs3.xiti.com/hit.xiti?s=352991&s2=10&p=detalle::home&di=0&x19=[]&cmd=&xt_an=&roimt=&clic=#clic#, 628 378 515 , Sin ascensor , 2 habitaciones ,?,43.2555849,-2.9208183,
